model,model_key,type,dataset,human_l,human_k
microsoft/phi-1,phi_1,unknown,McCloskey1978,4.234116020199602,18
roberta-large,roberta_large,encoder,McCloskey1978,4.397877375182455,18
word2vec,word2vec,classic,McCloskey1978,12.126391659077948,18
Qwen/Qwen2.5-0.5B,Qwen2_5_0_5B,decoder,McCloskey1978,4.152278946765458,18
gpt2,gpt2,decoder,McCloskey1978,4.5465658107369595,18
glove,glove,classic,McCloskey1978,37.92609144240314,18
bert-base-uncased,bert_base_uncased,encoder,McCloskey1978,4.176823629584854,18
Qwen/Qwen2-7B,Qwen2_7B,decoder,McCloskey1978,4.167024247866815,18
gpt2-medium,gpt2_medium,decoder,McCloskey1978,4.471241782006567,18
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,McCloskey1978,4.225832300779169,18
Qwen/Qwen2.5-1.5B,Qwen2_5_1_5B,decoder,McCloskey1978,4.183925362822359,18
Qwen/Qwen1.5-0.5B,Qwen1_5_0_5B,unknown,McCloskey1978,4.156225891371017,18
Qwen/Qwen2.5-14B,Qwen2_5_14B,decoder,McCloskey1978,4.214172089990919,18
microsoft/phi-2,phi_2,decoder,McCloskey1978,4.216634030041044,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek_R1_Distill_Qwen_14B,decoder,McCloskey1978,4.19765890627796,18
google/gemma-2-9b,gemma_2_9b,decoder,McCloskey1978,4.197217418399399,18
google/gemma-2-2b,gemma_2_2b,decoder,McCloskey1978,4.212887088355368,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek_R1_Distill_Qwen_32B,decoder,McCloskey1978,4.206364019361084,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek_R1_Distill_Qwen_7B,decoder,McCloskey1978,4.1963558816879445,18
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,McCloskey1978,4.151701485791003,18
bert-large-uncased,bert_large_uncased,encoder,McCloskey1978,4.187884552922791,18
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,McCloskey1978,4.159796564426964,18
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,McCloskey1978,4.167169238027876,18
microsoft/deberta-large,deberta_large,encoder,McCloskey1978,4.15891256421501,18
